match_id,round,matchweek,date,kickoff_local,home_team,away_team,home_goals,away_goals,pens_home,pens_away,goal_difference,total_goals,attendance,venue,referee,went_to_extra_time,went_to_pens,is_knockout,home_is_host,away_is_host
1,Group stage,1.0,2026-06-11,13:00,Mexico,South Africa,2,0,,,2,2,80824,Estadio Banorte,Wilton Sampaio,False,False,False,True,False
2,Group stage,1.0,2026-06-11,20:00,Korea Republic,Czechia,2,1,,,1,3,44985,Estadio Akron,Amin Omar,False,False,False,False,False
3,Group stage,1.0,2026-06-12,15:00,Canada,Bosnia–Herz,1,1,,,0,2,43002,BMO Field,Facundo Tello,False,False,False,True,False
4,Group stage,1.0,2026-06-12,18:00,USA,Paraguay,4,1,,,3,5,70492,SoFi Stadium,Danny Makkelie,False,False,False,True,False
5,Group stage,1.0,2026-06-13,12:00,Qatar,Switzerland,1,1,,,0,2,67966,Levi's Stadium,Said Martínez,False,False,False,False,False
6,Group stage,1.0,2026-06-13,18:00,Brazil,Morocco,1,1,,,0,2,80663,MetLife Stadium,Slavko Vinčič,False,False,False,False,False
7,Group stage,1.0,2026-06-13,21:00,Australia,Türkiye,2,0,,,2,2,52497,BC Place Stadium,Jesús Valenzuela,False,False,False,False,False
8,Group stage,1.0,2026-06-13,21:00,Haiti,Scotland,0,1,,,-1,1,64146,Gillette Stadium,Mustapha Ghorbal,False,False,False,False,False
9,Group stage,1.0,2026-06-14,12:00,Germany,Curaçao,7,1,,,6,8,68021,Reliant Stadium,Jalal Jiyed,False,False,False,False,False
10,Group stage,1.0,2026-06-14,15:00,Netherlands,Japan,2,2,,,0,4,69285,AT&T Stadium,Ismail Elfath,False,False,False,False,False
11,Group stage,1.0,2026-06-14,19:00,Côte d'Ivoire,Ecuador,1,0,,,1,1,68274,Lincoln Financial Field,François Letexier,False,False,False,False,False
12,Group stage,1.0,2026-06-14,20:00,Sweden,Tunisia,5,1,,,4,6,50987,Estadio BBVA,Yael Falcón,False,False,False,False,False
13,Group stage,1.0,2026-06-15,12:00,Belgium,Egypt,1,1,,,0,2,66775,Lumen Field,Ramon Abatti,False,False,False,False,False
14,Group stage,1.0,2026-06-15,12:00,Spain,Cabo Verde,0,0,,,0,0,67640,Mercedes-Benz Stadium,Adham Makhadmeh,False,False,False,False,False
15,Group stage,1.0,2026-06-15,18:00,Saudi Arabia,Uruguay,1,1,,,0,2,62764,Hard Rock Stadium,Maurizio Mariani,False,False,False,False,False
16,Group stage,1.0,2026-06-15,18:00,IR Iran,New Zealand,2,2,,,0,4,70108,SoFi Stadium,César Arturo Ramos,False,False,False,False,False
17,Group stage,1.0,2026-06-16,15:00,France,Senegal,3,1,,,2,4,80545,MetLife Stadium,Alireza Faghani,False,False,False,False,False
18,Group stage,1.0,2026-06-16,18:00,Iraq,Norway,1,4,,,-3,5,63106,Gillette Stadium,Pierre Ghislain Atcho,False,False,False,False,False
19,Group stage,1.0,2026-06-16,20:00,Argentina,Algeria,3,0,,,3,3,69045,GEHA Field at Arrowhead Stadium,Szymon Marciniak,False,False,False,False,False
20,Group stage,1.0,2026-06-16,21:00,Austria,Jordan,3,1,,,2,4,68527,Levi's Stadium,Dahane Beida,False,False,False,False,False
21,Group stage,1.0,2026-06-17,12:00,Portugal,Congo DR,1,1,,,0,2,68777,Reliant Stadium,Abdulrahman Ibrahim Al Jassim,False,False,False,False,False
22,Group stage,1.0,2026-06-17,15:00,England,Croatia,4,2,,,2,6,70389,AT&T Stadium,Clément Turpin,False,False,False,False,False
23,Group stage,1.0,2026-06-17,19:00,Ghana,Panama,1,0,,,1,1,42942,BMO Field,Glenn Nyberg,False,False,False,False,False
24,Group stage,1.0,2026-06-17,20:00,Uzbekistan,Colombia,1,3,,,-2,4,80824,Estadio Banorte,Anthony Taylor,False,False,False,False,False
25,Group stage,2.0,2026-06-18,12:00,Czechia,South Africa,1,1,,,0,2,67442,Mercedes-Benz Stadium,Tori Penso,False,False,False,False,False
26,Group stage,2.0,2026-06-18,12:00,Switzerland,Bosnia–Herz,4,1,,,3,5,70026,SoFi Stadium,João Pinheiro,False,False,False,False,False
27,Group stage,2.0,2026-06-18,15:00,Canada,Qatar,6,0,,,6,6,52497,BC Place Stadium,Cristián Garay,False,False,False,True,False
28,Group stage,2.0,2026-06-18,19:00,Mexico,Korea Republic,1,0,,,1,1,45522,Estadio Akron,Gustavo Tejera,False,False,False,True,False
29,Group stage,2.0,2026-06-19,12:00,USA,Australia,2,0,,,2,2,66925,Lumen Field,Felix Zwayer,False,False,False,True,False
30,Group stage,2.0,2026-06-19,18:00,Scotland,Morocco,0,1,,,-1,1,64146,Gillette Stadium,Ilgiz Tantashev,False,False,False,False,False
31,Group stage,2.0,2026-06-19,20:00,Türkiye,Paraguay,0,1,,,-1,1,68827,Levi's Stadium,Iván Barton,False,False,False,False,False
32,Group stage,2.0,2026-06-19,20:30,Brazil,Haiti,3,0,,,3,3,68324,Lincoln Financial Field,Alejandro Hernández,False,False,False,False,False
