row_id,match_id,date,round,matchweek,team,opponent,goals_for,goals_against,is_listed_home,team_is_host,opponent_is_host,attendance,venue,referee,is_knockout,went_to_extra_time,went_to_pens
1,1,2026-06-11,Group stage,1.0,Mexico,South Africa,2,0,True,True,False,80824,Estadio Banorte,Wilton Sampaio,False,False,False
2,1,2026-06-11,Group stage,1.0,South Africa,Mexico,0,2,False,False,True,80824,Estadio Banorte,Wilton Sampaio,False,False,False
3,2,2026-06-11,Group stage,1.0,Korea Republic,Czechia,2,1,True,False,False,44985,Estadio Akron,Amin Omar,False,False,False
4,2,2026-06-11,Group stage,1.0,Czechia,Korea Republic,1,2,False,False,False,44985,Estadio Akron,Amin Omar,False,False,False
5,3,2026-06-12,Group stage,1.0,Canada,Bosnia–Herz,1,1,True,True,False,43002,BMO Field,Facundo Tello,False,False,False
6,3,2026-06-12,Group stage,1.0,Bosnia–Herz,Canada,1,1,False,False,True,43002,BMO Field,Facundo Tello,False,False,False
7,4,2026-06-12,Group stage,1.0,USA,Paraguay,4,1,True,True,False,70492,SoFi Stadium,Danny Makkelie,False,False,False
8,4,2026-06-12,Group stage,1.0,Paraguay,USA,1,4,False,False,True,70492,SoFi Stadium,Danny Makkelie,False,False,False
9,5,2026-06-13,Group stage,1.0,Qatar,Switzerland,1,1,True,False,False,67966,Levi's Stadium,Said Martínez,False,False,False
10,5,2026-06-13,Group stage,1.0,Switzerland,Qatar,1,1,False,False,False,67966,Levi's Stadium,Said Martínez,False,False,False
11,6,2026-06-13,Group stage,1.0,Brazil,Morocco,1,1,True,False,False,80663,MetLife Stadium,Slavko Vinčič,False,False,False
12,6,2026-06-13,Group stage,1.0,Morocco,Brazil,1,1,False,False,False,80663,MetLife Stadium,Slavko Vinčič,False,False,False
13,7,2026-06-13,Group stage,1.0,Australia,Türkiye,2,0,True,False,False,52497,BC Place Stadium,Jesús Valenzuela,False,False,False
14,7,2026-06-13,Group stage,1.0,Türkiye,Australia,0,2,False,False,False,52497,BC Place Stadium,Jesús Valenzuela,False,False,False
15,8,2026-06-13,Group stage,1.0,Haiti,Scotland,0,1,True,False,False,64146,Gillette Stadium,Mustapha Ghorbal,False,False,False
16,8,2026-06-13,Group stage,1.0,Scotland,Haiti,1,0,False,False,False,64146,Gillette Stadium,Mustapha Ghorbal,False,False,False
17,9,2026-06-14,Group stage,1.0,Germany,Curaçao,7,1,True,False,False,68021,Reliant Stadium,Jalal Jiyed,False,False,False
18,9,2026-06-14,Group stage,1.0,Curaçao,Germany,1,7,False,False,False,68021,Reliant Stadium,Jalal Jiyed,False,False,False
19,10,2026-06-14,Group stage,1.0,Netherlands,Japan,2,2,True,False,False,69285,AT&T Stadium,Ismail Elfath,False,False,False
20,10,2026-06-14,Group stage,1.0,Japan,Netherlands,2,2,False,False,False,69285,AT&T Stadium,Ismail Elfath,False,False,False
