Rk,Player,Pos,SquadCode,Country,Age,Club,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save_Pct,W,D,L,CS,CS_Pct,PKatt,PKA,PKsv,PKm,PK_Save_Pct,Stage,Save_Pct_calc,SoTA90,Saves90,GA90_calc,Confederation,ConfGroup,reached_knockout,ClubCountryCode,plays_abroad,is_number_one,eligible_perf,eligible_rate
1,Yazeed Abulaila,GK,jo,Jordan,33,1.jo Al-Hussein SC,1993,3,3,270,3.0,8,2.67,16,8,50.0,0,0,3,0,0.0,2,2,0,0,0.0,Group stage only,50.0,5.333333333333333,2.6666666666666665,2.6666666666666665,AFC,Rest of world,False,jo,False,True,True,True
2,Mahmoud Abunada,GK,qa,Qatar,26,1.qa Al Rayyan SC,2000,3,3,270,3.0,10,3.33,22,12,54.5,0,1,2,0,0.0,1,1,0,0,0.0,Group stage only,54.54545454545454,7.333333333333333,4.0,3.3333333333333335,AFC,Rest of world,False,qa,False,True,True,True
3,Alisson,GK,br,Brazil,33,1.eng Liverpool,1992,5,5,450,5.0,4,0.8,18,14,77.8,3,1,1,2,40.0,0,0,0,0,,Knockout,77.77777777777779,3.6,2.8,0.8,CONMEBOL,UEFA/CONMEBOL,True,eng,True,True,True,True
4,Benjamin Asare,GK,gh,Ghana,33,1.gh Accra Hearts of Oak,1992,3,2,225,2.5,2,0.8,10,8,80.0,0,1,1,2,100.0,0,0,0,0,,Group stage only,80.0,4.0,3.2,0.8,CAF,Rest of world,False,gh,False,True,True,True
5,Lawrence Ati-Zigi,GK,gh,Ghana,29,1.ch St. Gallen,1996,2,2,135,1.5,1,0.67,9,8,88.9,1,0,1,1,50.0,0,0,0,0,,Group stage only,88.88888888888889,6.0,5.333333333333333,0.6666666666666666,CAF,Rest of world,False,ch,True,False,True,True
6,Ahmed Basil,GK,iq,Iraq,29,1.iq Al-Shorta,1996,2,2,135,1.5,4,2.67,7,3,42.9,0,0,2,0,0.0,0,0,0,0,,Group stage only,42.857142857142854,4.666666666666667,2.0,2.6666666666666665,AFC,Rest of world,False,iq,False,True,True,True
7,Patrick Beach,GK,au,Australia,22,1.au Melb City,2003,4,4,388,4.3,3,0.7,17,14,82.4,1,2,1,2,50.0,0,0,0,0,,Knockout,82.35294117647058,3.9534883720930236,3.255813953488372,0.6976744186046512,AFC,Rest of world,True,au,False,True,True,True
8,Alireza Beiranvand,GK,ir,IR Iran,33,1.ir Tractor,1992,3,3,270,3.0,3,1.0,18,15,83.3,0,3,0,1,33.3,0,0,0,0,,Group stage only,83.33333333333334,6.0,5.0,1.0,AFC,Rest of world,False,ir,False,True,True,True
9,Oussama Benbot,GK,dz,Algeria,31,1.dz USM Alger,1994,1,1,90,1.0,3,3.0,3,0,0.0,0,1,0,0,0.0,0,0,0,0,,Group stage only,0.0,3.0,0.0,3.0,CAF,Rest of world,False,dz,False,False,False,True
10,Yassine Bounou,GK,ma,Morocco,35,1.sa Al-Hilal,1991,6,6,570,6.3,6,0.95,20,14,70.0,3,2,1,2,33.3,1,0,1,0,100.0,Knockout,70.0,3.174603174603175,2.2222222222222223,0.9523809523809524,CAF,Rest of world,True,sa,True,True,True,True
11,Uğurcan Çakır,GK,tr,Türkiye,30,1.tr Galatasaray,1996,3,3,270,3.0,5,1.67,13,8,61.5,1,0,2,0,0.0,0,0,0,0,,Group stage only,61.53846153846154,4.333333333333333,2.6666666666666665,1.6666666666666667,UEFA,UEFA/CONMEBOL,False,tr,False,True,True,True
12,Mouhib Chamakh,GK,tn,Tunisia,24,1.tn Club Africain,2001,1,1,90,1.0,5,5.0,6,1,16.7,0,0,1,0,0.0,0,0,0,0,,Group stage only,16.666666666666664,6.0,1.0,5.0,CAF,Rest of world,False,tn,False,False,True,True
13,Diogo Costa,GK,pt,Portugal,26,1.pt Porto,1999,5,5,450,5.0,3,0.6,22,19,86.4,2,2,1,2,40.0,0,0,0,0,,Knockout,86.36363636363636,4.4,3.8,0.6,UEFA,UEFA/CONMEBOL,True,pt,False,True,True,True
14,Thibaut Courtois,GK,be,Belgium,34,1.es Real Madrid,1992,6,6,550,6.1,6,0.98,20,14,70.0,3,2,1,1,16.7,0,0,0,0,,Knockout,70.0,3.278688524590164,2.295081967213115,0.9836065573770493,UEFA,UEFA/CONMEBOL,True,es,True,True,True,True
15,Maxime Crépeau,GK,ca,Canada,32,1.us Orlando City,1994,5,5,450,5.0,6,1.2,12,6,50.0,2,1,2,2,40.0,0,0,0,0,,Knockout,50.0,2.4,1.2,1.2,CONCACAF,Rest of world,True,us,True,True,True,True
16,Max Crocombe,GK,nz,New Zealand,32,2.eng Millwall,1993,3,3,270,3.0,10,3.33,21,11,52.4,0,1,2,0,0.0,0,0,0,0,,Group stage only,52.38095238095239,7.0,3.6666666666666665,3.3333333333333335,OFC,Rest of world,False,eng,True,True,True,True
17,Aymen Dahmen,GK,tn,Tunisia,29,1.tn Ahly Sfaxien,1997,2,2,180,2.0,7,3.5,12,5,41.7,0,0,2,0,0.0,0,0,0,0,,Group stage only,41.66666666666667,6.0,2.5,3.5,CAF,Rest of world,False,tn,False,True,True,True
18,Mory Diaw,GK,sn,Senegal,32,1.fr Le Havre,1993,3,2,238,2.6,3,1.13,7,4,57.1,1,0,1,1,50.0,1,1,0,0,0.0,Group stage only,57.14285714285714,2.692307692307692,1.5384615384615383,1.1538461538461537,CAF,Rest of world,False,fr,True,True,True,True
19,Yahia Fofana,GK,ci,Côte d'Ivoire,25,1.tr Rizespor,2000,4,4,360,4.0,4,1.0,13,9,69.2,2,0,2,2,50.0,0,0,0,0,,Knockout,69.23076923076923,3.25,2.25,1.0,CAF,Rest of world,True,tr,True,True,True,True
