Player,Country,Confederation,Age,Min,90s,SoTA,Saves,GA,Save_Pct,Stage,reached_knockout,StageGroup
Abduvohid Nematov,Uzbekistan,AFC,25,180,2.0,13,5,8,38.5,Group stage only,False,Group stage only
Ahmed Basil,Iraq,AFC,29,135,1.5,7,3,4,42.9,Group stage only,False,Group stage only
Alexander Schlager,Austria,UEFA,30,360,4.0,22,13,9,59.1,Knockout,True,Knockout
Alisson,Brazil,CONMEBOL,33,450,5.0,18,14,4,77.8,Knockout,True,Knockout
Angus Gunn,Scotland,UEFA,30,270,3.0,12,8,4,66.7,Group stage only,False,Group stage only
Aymen Dahmen,Tunisia,CAF,29,180,2.0,12,5,7,41.7,Group stage only,False,Group stage only
Benjamin Asare,Ghana,CAF,33,225,2.5,10,8,2,80.0,Group stage only,False,Group stage only
Diogo Costa,Portugal,UEFA,26,450,5.0,22,19,3,86.4,Knockout,True,Knockout
Dominik Livaković,Croatia,UEFA,31,360,4.0,17,10,7,58.8,Knockout,True,Knockout
Eloy Room,Curaçao,CONCACAF,37,270,3.0,29,20,9,69.0,Group stage only,False,Group stage only
Emiliano Martínez,Argentina,CONMEBOL,33,810,9.0,28,20,8,71.4,Knockout,True,Knockout
Fernando Muslera,Uruguay,CONMEBOL,39,225,2.5,8,4,4,50.0,Group stage only,False,Group stage only
Gregor Kobel,Switzerland,UEFA,28,600,6.7,26,20,6,76.9,Knockout,True,Knockout
Jacob Widell Zetterström,Sweden,UEFA,27,180,2.0,15,11,4,73.3,Group stage only,False,Group stage only
Johny Placide,Haiti,CONCACAF,38,270,3.0,19,11,8,57.9,Group stage only,False,Group stage only
Lawrence Ati-Zigi,Ghana,CAF,29,135,1.5,9,8,1,88.9,Group stage only,False,Group stage only
Lionel Mpasi,Congo DR,CAF,31,360,4.0,19,14,5,73.7,Knockout,True,Knockout
Luca Zidane,Algeria,CAF,28,270,3.0,14,8,6,57.1,Group stage only,False,Group stage only
Matej Kovar,Czechia,UEFA,26,270,3.0,15,9,6,60.0,Group stage only,False,Group stage only
Matt Freese,USA,CONCACAF,27,360,4.0,13,8,5,61.5,Knockout,True,Knockout
Max Crocombe,New Zealand,OFC,32,270,3.0,21,11,10,52.4,Group stage only,False,Group stage only
Maxime Crépeau,Canada,CONCACAF,32,450,5.0,12,6,6,50.0,Knockout,True,Knockout
Mike Maignan,France,UEFA,30,720,8.0,22,12,10,54.5,Knockout,True,Knockout
Mory Diaw,Senegal,CAF,32,238,2.6,7,4,3,57.1,Group stage only,False,Group stage only
Mouhib Chamakh,Tunisia,CAF,24,90,1.0,6,1,5,16.7,Group stage only,False,Group stage only
Orlando Mosquera,Panama,CONCACAF,31,270,3.0,11,7,4,63.6,Group stage only,False,Group stage only
Patrick Beach,Australia,AFC,22,388,4.3,17,14,3,82.4,Knockout,True,Knockout
Raúl Rangel,Mexico,CONCACAF,26,437,4.9,11,8,3,72.7,Knockout,True,Knockout
Ronwen Williams,South Africa,CAF,34,360,4.0,15,11,4,73.3,Knockout,True,Knockout
Thibaut Courtois,Belgium,UEFA,34,550,6.1,20,14,6,70.0,Knockout,True,Knockout
Unai Simón,Spain,UEFA,29,750,8.3,11,9,1,90.9,Knockout,True,Knockout
Yassine Bounou,Morocco,CAF,35,570,6.3,20,14,6,70.0,Knockout,True,Knockout
Yazeed Abulaila,Jordan,AFC,33,270,3.0,16,8,8,50.0,Group stage only,False,Group stage only
Zion Suzuki,Japan,AFC,23,360,4.0,17,12,5,70.6,Knockout,True,Knockout
Édouard Mendy,Senegal,CAF,34,152,1.7,14,8,6,57.1,Group stage only,False,Group stage only
Ørjan Nyland,Norway,UEFA,35,480,5.3,22,15,7,68.2,Knockout,True,Knockout
