Player,Country,Confederation,ConfGroup,Age,Min,90s,SoTA,GA,Save_Pct,SoTA90,Stage
Abduvohid Nematov,Uzbekistan,AFC,Rest of world,25,180,2.0,13,8,38.5,6.5,Group stage only
Angus Gunn,Scotland,UEFA,UEFA/CONMEBOL,30,270,3.0,12,4,66.7,4.0,Group stage only
Aymen Dahmen,Tunisia,CAF,Rest of world,29,180,2.0,12,7,41.7,6.0,Group stage only
Bart Verbruggen,Netherlands,UEFA,UEFA/CONMEBOL,23,390,4.3,21,5,76.2,4.883720930232558,Knockout
Benjamin Asare,Ghana,CAF,Rest of world,33,225,2.5,10,2,80.0,4.0,Group stage only
Camilo Vargas,Colombia,CONMEBOL,UEFA/CONMEBOL,37,480,5.3,7,1,85.7,1.3207547169811322,Knockout
Dean Henderson,England,UEFA,UEFA/CONMEBOL,29,90,1.0,9,4,55.6,9.0,Group stage only
Eloy Room,Curaçao,CONCACAF,Rest of world,37,270,3.0,29,9,69.0,9.666666666666666,Group stage only
Fernando Muslera,Uruguay,CONMEBOL,UEFA/CONMEBOL,39,225,2.5,8,4,50.0,3.2,Group stage only
Gregor Kobel,Switzerland,UEFA,UEFA/CONMEBOL,28,600,6.7,26,6,76.9,3.880597014925373,Knockout
Jalal Hassan,Iraq,AFC,Rest of world,35,135,1.5,16,8,50.0,10.666666666666666,Group stage only
Johny Placide,Haiti,CONCACAF,Rest of world,38,270,3.0,19,8,57.9,6.333333333333333,Group stage only
Jordan Pickford,England,UEFA,UEFA/CONMEBOL,32,660,7.3,23,8,65.2,3.150684931506849,Knockout
Kim Seung-gyu,Korea Republic,AFC,Rest of world,35,270,3.0,12,3,75.0,4.0,Group stage only
Kristoffer Nordfeldt,Sweden,UEFA,UEFA/CONMEBOL,36,180,2.0,9,6,33.3,4.5,Group stage only
Lawrence Ati-Zigi,Ghana,CAF,Rest of world,29,135,1.5,9,1,88.9,6.0,Group stage only
Luca Zidane,Algeria,CAF,Rest of world,28,270,3.0,14,6,57.1,4.666666666666667,Group stage only
Manuel Neuer,Germany,UEFA,UEFA/CONMEBOL,40,390,4.3,10,5,50.0,2.3255813953488373,Knockout
Matt Freese,USA,CONCACAF,Rest of world,27,360,4.0,13,5,61.5,3.25,Knockout
Matt Turner,USA,CONCACAF,Rest of world,31,90,1.0,3,3,0.0,3.0,Group stage only
Max Crocombe,New Zealand,OFC,Rest of world,32,270,3.0,21,10,52.4,7.0,Group stage only
Maxime Crépeau,Canada,CONCACAF,Rest of world,32,450,5.0,12,6,50.0,2.4,Knockout
Mohammed Al-Owais,Saudi Arabia,AFC,Rest of world,34,270,3.0,21,5,76.2,7.0,Group stage only
Mory Diaw,Senegal,CAF,Rest of world,32,238,2.6,7,3,57.1,2.692307692307692,Group stage only
Mostafa Shobeir,Egypt,CAF,Rest of world,26,480,5.3,19,7,63.2,3.5849056603773586,Knockout
Mouhib Chamakh,Tunisia,CAF,Rest of world,24,90,1.0,6,5,16.7,6.0,Group stage only
Orlando Gill,Paraguay,CONMEBOL,UEFA/CONMEBOL,26,480,5.3,29,6,79.3,5.471698113207547,Knockout
Orlando Mosquera,Panama,CONCACAF,Rest of world,31,270,3.0,11,4,63.6,3.6666666666666665,Group stage only
Oussama Benbot,Algeria,CAF,Rest of world,31,90,1.0,3,3,0.0,3.0,Group stage only
Raúl Rangel,Mexico,CONCACAF,Rest of world,26,437,4.9,11,3,72.7,2.2448979591836733,Knockout
Ronwen Williams,South Africa,CAF,Rest of world,34,360,4.0,15,4,73.3,3.75,Knockout
Unai Simón,Spain,UEFA,UEFA/CONMEBOL,29,750,8.3,11,1,90.9,1.325301204819277,Knockout
Utkir Yusupov,Uzbekistan,AFC,Rest of world,35,90,1.0,4,3,25.0,4.0,Group stage only
Uğurcan Çakır,Türkiye,UEFA,UEFA/CONMEBOL,30,270,3.0,13,5,61.5,4.333333333333333,Group stage only
Yahia Fofana,Côte d'Ivoire,CAF,Rest of world,25,360,4.0,13,4,69.2,3.25,Knockout
Yassine Bounou,Morocco,CAF,Rest of world,35,570,6.3,20,6,70.0,3.174603174603175,Knockout
Yazeed Abulaila,Jordan,AFC,Rest of world,33,270,3.0,16,8,50.0,5.333333333333333,Group stage only
Zion Suzuki,Japan,AFC,Rest of world,23,360,4.0,17,5,70.6,4.25,Knockout
Édouard Mendy,Senegal,CAF,Rest of world,34,152,1.7,14,6,57.1,8.23529411764706,Group stage only
Ørjan Nyland,Norway,UEFA,UEFA/CONMEBOL,35,480,5.3,22,7,68.2,4.150943396226415,Knockout
